user_name;text;;;;;;;;;;;;
Mohamed Haziq;Samy Velu quoted on Pos Laju: “Besoh kirim  hari ini juga sampai”;;;;;;;;;;;;
Mohamed Haziq;Samy Velu quoted on Pos Laju: “Besoh kirim  hari ini juga sampai”;;;;;;;;;;;;
Alleviate Alexander;I'm at Poslaju Kuching Selatan (Kuching) http://4sq.com/flycxt;;;;;;;;;;;;
Alleviate Alexander;I'm at Poslaju Kuching Selatan (Kuching) http://4sq.com/flycxt;;;;;;;;;;;;
Naqiuddin Hj Razal;Slmt smpai..water temp da ok da (@ Poslaju Dolomite Business Centre) http://4sq.com/gsE7Tz;;;;;;;;;;;;
MieAbdullah;again  2 time here.. Alhamdulillah (@ Poslaju Bangi) http://4sq.com/h6Qxwc;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi http://4sq.com/fuxLxX;;;;;;;;;;;;
Nicholas Chan;Poslaju. (@ Victoria street) http://picplz.com/V5Hs;;;;;;;;;;;;
Nicholas Chan;Poslaju. (@ Victoria street) http://picplz.com/V5Hs;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi http://4sq.com/dEU6HT;;;;;;;;;;;;
Idris B Ramli 9W2iRQ;delivery.. (@ Pusat Poslaju) http://4sq.com/f9DOFn;;;;;;;;;;;;
Sunbay Group;I'm at Pos Laju  Taman Tun Dr Ismail http://4sq.com/gZAhPj;;;;;;;;;;;;
Sunbay Group;I just became the mayor of Pos Laju  Taman Tun Dr Ismail on @foursquare! http://4sq.com/c9iBnk;;;;;;;;;;;;
frz197;Receiving goods (@ Poslaju) http://4sq.com/ejyiIQ;;;;;;;;;;;;
comelcomot;@sukasup @stoberycoklat -suh ym jela cmtu xpun anta surat guna pos laju heheh;;;;;;;;;;;;
Akhbarino Akhir;I'm at Poslaju Bangi w/ 2 others http://4sq.com/fb6xIc;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi http://4sq.com/gLxuS0;;;;;;;;;;;;
adjayVERSYS@AbgJoe;I'm at Poslaju National Courier  Miri (Jalan Post  Miri) http://4sq.com/h0Qs1D;;;;;;;;;;;;
Amy Badrey;I'm at Poslaju (Shamlin Perkasa) http://4sq.com/fQ3ZOe;;;;;;;;;;;;
Amy Badrey;I'm at Poslaju (Shamlin Perkasa) http://4sq.com/fQ3ZOe;;;;;;;;;;;;
Hanafi Ghani;I'm at Poslaju (Shamlin Perkasa) http://4sq.com/fBuswo;;;;;;;;;;;;
FA;Jumpaaa juak ahernyaa! (@ PosLaju JB) http://4sq.com/gXB2d1;;;;;;;;;;;;
Elaine Hah;I'm at Pos Laju Malaysia Perak http://4sq.com/ekIXOy;;;;;;;;;;;;
BrendaSueChanggai;@yvongudom receive frm the pak pos laju oready kah?heheh*kasi payung itu perempuan*haha;;;;;;;;;;;;
FA;I'm at PosLaju JB (Jalan Bakti  Ungku Mohsin  Johor Bahru) http://4sq.com/fNDKEX;;;;;;;;;;;;
Andrés Pokko;I'm at Pos Laju Kuantan http://4sq.com/fVCWqb;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi http://4sq.com/eo669I;;;;;;;;;;;;
Idris B Ramli 9W2iRQ;I'm at Pusat Poslaju (Jalan Tun Sambanthan  Kuala Lumpur) http://4sq.com/fCoFdX;;;;;;;;;;;;
Marzin Omar;@FazuraAzima poslaju bah  dijamin sampai lusa!;;;;;;;;;;;;
Skoots ®;I'm at Poslaju @ Taman Shamelin Perkasa (Jalan 4/91  Kuala Lumpur) http://4sq.com/fUUy22;;;;;;;;;;;;
Brandon;Poslaju is damn lama D: I WANT MY PARCEL!;;;;;;;;;;;;
Brandon;waiting for poslaju :P;;;;;;;;;;;;
Miss Amy;I'm at Poslaju (Shamlin Perkasa) http://4sq.com/ec8CGW;;;;;;;;;;;;
adelina widya;Ya elah ini poslaju ga dateng2... Gagal ke embassy deh sore ini http://myloc.me/gVXFX;;;;;;;;;;;;
Roslan Rashid;Poslaju apahal ramai org? Ramai yg buat online business gini la jadinye..... Arghg!!!! http://myloc.me/gVQtf;;;;;;;;;;;;
Dinesh Pandian;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/gmZCXS;;;;;;;;;;;;
Sakinah H;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/hRSTVH;;;;;;;;;;;;
Unni Feeza;Biasa kalau pos laju dia collect hari ni pukul brape eh? @niknurehan;;;;;;;;;;;;
Unni Feeza;Biasa kalau pos laju dia collect hari ni pukul brape eh? @niknurehan;;;;;;;;;;;;
Kenneth lim;@pzheng10 i pos laju give u? X);;;;;;;;;;;;
Kenneth lim;@pzheng10 i pos laju give u? X);;;;;;;;;;;;
wawa;I'm at Poslaju National Courier (Bachang  Malacca Town) http://4sq.com/fWSJnT;;;;;;;;;;;;
wawa;I'm at Poslaju National Courier (Bachang  Malacca Town) http://4sq.com/fWSJnT;;;;;;;;;;;;
Nolan Aberdeen;Pos Laju ke Penang ;;;;;;;;;;;;
EuJinn;I'm at Poslaju Kulim http://4sq.com/hGmEOK;;;;;;;;;;;;
Kojak;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/go8SB0;;;;;;;;;;;;
Kojak;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/go8SB0;;;;;;;;;;;;
Naza Hairoman;@rachelee1031 how many days pos laju usually take?;;;;;;;;;;;;
Naza Hairoman;@rachelee1031 how many days pos laju usually take?;;;;;;;;;;;;
Bangdut;@Hunnybee_7177 jommmm....nti i poslaju dr kk ni...;;;;;;;;;;;;
Bangdut;@Hunnybee_7177 jommmm....nti i poslaju dr kk ni...;;;;;;;;;;;;
NDY RZK;@vendozaa haha.kalau pos laju tadala kena hujan :D;;;;;;;;;;;;
Shafiq Mustapa;I'm at PosLaju JB (Jalan Bakti  Ungku Mohsin  Johor Bahru) w/ 2 others http://4sq.com/g7Tg2f;;;;;;;;;;;;
Frank Looi;@Kok_Way This one poslaju maah ! But it's okay lah since SM Entertainment's still gonna suck alot from the albums. :/;;;;;;;;;;;;
MsJajah™;Bwk naik belon *ngee*RT @zura_AimLuvs: AlaaaaAaa..pos laju dh tutup laaa..RT @LizaIskandar: Ampuuuuun ngilerrrrr ... http://tmi.me/6B357;;;;;;;;;;;;
MieAbdullah;I'm at Poslaju Bangi http://4sq.com/hxF0Et;;;;;;;;;;;;
Hanafi Ghani;I'm at Poslaju (Shamlin Perkasa) http://4sq.com/eNrF5O;;;;;;;;;;;;
Tasha Nisron Al~irad;I'm at POSLAJU National Courier (Ground Floor  Endah Parade  Seri Petaling  Kuala Lumpur) http://4sq.com/eFaGgQ;;;;;;;;;;;;
Nurul Ainina;@wanieyusof pos laju senin bawu bley...kne sabaw r...ngeee;;;;;;;;;;;;
Nurul Ainina;@wanieyusof pos laju senin bawu bley...kne sabaw r...ngeee;;;;;;;;;;;;
mmahfudzzz;I'm at Poslaju @ Taman Shamelin Perkasa (Jalan 4/91  Kuala Lumpur) http://4sq.com/gWfZoq;;;;;;;;;;;;
